1	4864	0	0.135	249.620
6	180	1	1.706	2.829
6	145	2	1.584	1.747
37	68	3	1.871	0.594
68	75	3	1.134	0.699
75	145	3	2.241	0.452
145	180	2	2.093	1.047
180	192	1	1.247	0.951
192	217	1	1.074	1.324
192	204	2	1.504	0.364
204	217	2	1.688	0.546
217	240	1	1.209	1.626
217	226	2	1.811	0.485
226	240	2	1.116	0.758
226	232	3	2.078	0.677
240	264	1	1.862	1.042
264	315	1	1.789	1.211
264	307	2	1.795	0.431
307	315	2	1.278	0.181
315	335	1	1.886	0.857
335	359	1	1.350	0.738
335	351	2	1.385	0.312
351	359	2	1.181	0.125
359	411	1	1.001	3.580
359	403	2	1.053	2.295
359	372	3	1.582	0.918
372	403	3	1.808	1.071
392	403	4	1.557	0.182
403	411	2	1.445	1.108
411	418	1	1.551	1.167
418	480	1	1.558	2.281
418	426	2	1.551	0.312
426	480	2	1.784	1.222
432	480	3	1.400	0.333
480	521	1	0.629	2.810
480	509	2	0.711	2.028
480	493	3	1.009	0.265
493	509	3	1.216	1.663
493	502	4	1.728	0.529
502	509	4	1.656	0.680
509	521	2	1.323	0.727
521	552	1	0.717	2.363
521	528	2	1.841	0.565
528	540	2	1.667	0.753
540	552	2	1.774	1.044
552	583	1	0.973	4.909
552	559	2	2.282	1.711
559	583	2	1.131	2.940
559	574	3	2.447	1.439
574	583	3	1.823	1.188
583	608	1	1.443	2.950
583	590	2	1.765	1.165
590	608	2	2.216	1.259
608	642	1	1.306	2.592
608	634	2	1.234	1.652
608	619	3	2.151	0.971
619	634	3	1.697	0.432
634	642	2	1.585	0.570
642	655	1	1.304	0.706
655	677	1	1.358	0.922
677	741	1	1.551	2.544
677	732	2	1.840	1.481
677	714	3	2.050	0.376
686	714	4	1.618	0.035
732	741	2	0.960	0.327
741	790	1	0.631	4.894
741	782	2	0.690	3.805
741	751	3	0.971	0.642
751	782	3	0.843	3.106
751	771	4	1.041	2.156
751	763	5	2.120	1.044
763	771	5	1.896	0.893
771	782	4	1.485	0.641
782	790	2	1.541	1.030
790	861	1	1.019	4.057
790	801	2	1.406	0.882
801	852	2	1.207	2.429
801	842	3	1.917	1.120
810	842	4	1.199	0.060
821	842	5	1.656	0.001
842	852	3	1.430	0.839
852	861	2	1.338	0.730
861	877	1	2.000	1.468
877	953	1	0.875	6.752
877	943	2	0.894	6.055
877	885	3	1.525	1.083
885	943	3	0.864	4.823
885	917	4	1.193	2.006
885	904	5	1.356	1.150
885	892	6	1.752	0.632
892	904	6	1.605	0.421
