1	4864	0	0.142	174.124
68	75	1	1.576	0.372
140	186	1	1.713	3.073
140	178	2	1.628	1.853
140	151	3	1.145	0.188
151	178	3	2.182	1.156
178	186	2	1.519	0.458
186	220	1	1.040	3.512
186	192	2	1.746	0.553
192	220	2	0.982	2.718
192	199	3	1.986	0.814
199	220	3	1.127	1.774
199	212	4	1.197	1.720
199	206	5	1.878	0.533
206	212	5	2.369	1.065
212	220	4	1.159	0.011
220	316	1	1.141	3.750
220	240	2	1.248	1.288
220	226	3	1.863	0.849
226	240	3	1.255	0.173
240	316	2	1.363	2.397
240	264	3	1.618	0.549
264	316	3	1.380	1.509
264	306	4	2.101	1.290
264	294	5	2.127	0.341
306	316	4	1.036	0.157
316	480	1	1.359	4.500
316	334	2	1.327	0.223
334	480	2	1.232	3.936
334	340	3	1.328	0.538
372	402	3	1.556	0.442
402	418	3	0.706	1.840
402	411	4	1.610	0.782
411	418	4	1.826	0.981
418	425	3	1.537	0.692
469	480	3	1.085	0.284
480	509	1	1.104	2.490
480	493	2	1.600	0.415
493	509	2	1.518	1.983
493	502	3	2.279	0.848
502	509	3	1.802	0.704
509	517	1	2.511	1.541
517	541	1	0.966	1.452
517	534	2	1.518	0.545
534	541	2	1.863	0.889
541	559	1	0.977	2.228
541	552	2	2.168	1.269
552	559	2	1.901	0.846
559	582	1	1.060	1.984
559	575	2	2.128	1.191
575	582	2	1.611	0.698
582	641	1	1.025	3.372
582	590	2	1.840	0.967
590	641	2	1.110	2.335
590	607	3	1.729	0.606
607	633	3	1.115	1.367
607	619	4	2.124	0.971
619	633	4	1.591	0.330
633	641	3	0.957	0.225
641	658	1	1.319	0.562
658	678	1	1.370	0.506
678	741	1	1.280	1.678
678	732	2	1.234	1.370
678	724	3	1.165	1.035
678	714	4	1.631	0.750
686	714	5	1.540	0.326
741	790	1	0.802	3.336
741	783	2	0.919	2.255
741	748	3	1.473	0.843
748	783	3	1.305	1.131
748	764	4	1.877	0.431
764	783	4	1.430	0.014
783	790	2	1.762	0.894
790	841	1	0.874	1.599
790	801	2	1.191	0.392
801	841	2	1.574	1.036
801	831	3	1.221	0.127
841	853	1	1.466	0.886
853	861	1	1.650	0.936
861	953	1	0.902	7.763
861	883	2	1.037	2.735
861	877	3	2.381	1.588
877	883	3	1.370	0.804
883	953	2	0.918	5.003
883	943	3	1.003	4.032
883	917	4	1.391	1.511
883	893	5	1.499	0.265
893	917	5	1.266	0.959
893	904	6	1.937	0.604
904	917	6	1.622	0.225
917	943	4	1.106	2.389
917	924	5	2.249	1.423
924	943	5	1.542	0.880
924	934	6	1.911	0.331
934	943	6	1.738	0.101
943	953	3	1.840	0.925
953	976	1	0.938	1.543
953	961	2	1.828	0.854
961	976	2	1.504	0.574
976	1015	1	1.327	0.251
1015	1080	1	1.329	0.199
1080	1119	1	1.183	0.642
1080	1102	2	1.255	0.069
1102	1119	2	1.245	0.097
1119	1219	1	1.357	1.382
1119	1128	2	1.339	0.591
1128	1219	2	1.272	0.668
1128	1156	3	1.268	0.150
1156	1219	3	1.361	0.458
1156	1177	4	1.486	0.333
1219	1243	1	0.965	2.041
1219	1226	2	2.172	1.030
1226	1243	2	1.675	0.890
1243	1283	1	0.990	3.271
1243	1277	2	1.076	2.305
1243	1254	3	2.251	1.050
1254	1277	3	1.694	1.086
1254	1261	4	1.790	0.380
1261	1277	4	1.409	0.053
1277	1283	2	1.651	0.894
1283	1317	1	0.903	2.549
1283	1306	2	1.217	1.533
1283	1296	3	1.687	0.403
1296	1306	3	2.011	0.668
1306	1317	2	1.832	0.950
1317	1366	1	1.569	0.655
1366	1374	1	1.665	0.789
1374	1384	1	1.440	0.521
1384	1391	1	1.503	0.626
1391	1411	1	1.135	1.512
1391	1403	2	1.519	0.420
1403	1411	2	2.067	0.786
1411	1425	1	1.299	0.922
1411	1418	2	1.737	0.336
1425	1435	1	1.470	0.916
1435	1463	1	1.319	0.388
1463	1469	1	1.845	1.114
1469	1498	1	0.864	1.998
1469	1480	2	1.226	0.371
1480	1498	2	1.245	1.515
1480	1489	3	2.050	0.705
1489	1498	3	1.742	0.397
1498	1519	1	1.634	0.969
1519	1693	1	1.326	1.792
1519	1539	2	1.576	0.499
1539	1693	2	1.370	0.980
1539	1586	3	1.422	0.191
1586	1693	3	1.451	0.444
1586	1604	4	1.049	0.084
1604	1693	4	1.582	0.135
1693	1712	1	1.242	0.953
1693	1703	2	1.509	0.265
1703	1712	2	1.422	0.055
1712	1740	1	0.711	3.923
1712	1729	2	0.739	3.202
1712	1718	3	2.386	1.743
1718	1729	3	2.180	1.403
1729	1740	2	1.421	0.644
1740	1783	1	0.901	2.030
1740	1767	2	0.731	1.590
1746	1767	3	0.999	1.585
1746	1752	4	1.526	0.574
1752	1761	4	1.304	0.253
1761	1767	4	1.012	0.487
1767	1783	2	1.121	0.421
1783	1801	1	0.823	1.026
1783	1792	2	1.900	0.753
1919	1933	1	1.229	0.398
1933	1955	1	0.937	1.867
1933	1945	2	1.955	0.910
1945	1955	2	1.823	0.848
1955	2003	1	1.277	1.978
1955	1964	2	1.727	0.981
1964	2003	2	1.185	0.781
1964	1985	3	1.827	0.625
1985	2003	3	1.251	0.105
2003	2033	1	1.336	0.842
2003	2025	2	1.250	0.189
2003	2018	3	1.480	0.035
2025	2033	2	1.453	0.188
2033	2062	1	1.110	2.413
2033	2040	2	1.496	0.691
2040	2062	2	1.186	1.452
2040	2050	3	1.922	0.743
2050	2062	3	1.804	0.449
2062	2069	1	0.992	0.384
2069	2177	1	1.241	1.629
2069	2112	2	1.373	0.129
2112	2119	2	1.075	0.554
2119	2145	2	1.324	0.464
2119	2135	3	1.297	0.036
2145	2177	2	1.253	0.203
2177	2188	1	1.326	0.589
2188	2223	1	1.003	2.508
2188	2215	2	0.900	0.045
2215	2223	2	2.872	2.326
2223	2251	1	1.265	0.539
