1	4864	0	0.135	250.790
68	75	1	1.650	0.351
75	139	1	2.041	0.619
139	186	1	1.000	2.463
139	179	2	1.099	1.582
139	145	3	1.465	0.974
145	179	3	1.441	0.460
179	186	2	1.918	0.831
186	218	1	0.802	5.143
186	192	2	2.240	1.172
192	218	2	0.964	3.748
192	199	3	2.193	1.039
199	218	3	1.223	2.433
199	205	4	2.489	1.294
205	218	4	1.979	0.831
218	239	1	1.659	1.992
218	226	2	1.992	0.501
226	239	2	1.680	0.381
239	264	1	1.999	2.131
239	258	2	1.742	0.745
258	264	2	1.167	0.024
264	307	1	1.729	0.603
307	316	1	1.322	0.996
316	340	1	1.129	1.460
316	334	2	1.538	0.680
334	340	2	1.147	0.585
340	372	1	1.178	0.977
340	353	2	1.677	0.464
353	361	2	1.119	0.248
361	372	2	1.468	0.227
372	402	1	1.989	1.145
372	393	2	1.737	0.261
402	418	1	0.639	2.112
402	411	2	1.520	0.861
411	418	2	1.761	1.016
418	478	1	1.616	2.731
418	425	2	1.567	0.865
425	478	2	1.327	1.556
425	469	3	1.702	1.052
433	469	4	1.491	0.438
469	478	3	1.106	0.499
478	519	1	0.797	3.552
478	509	2	1.025	2.539
478	493	3	1.376	0.275
493	509	3	1.227	1.940
493	502	4	2.236	1.035
502	509	4	1.901	0.778
509	519	2	1.805	0.817
519	541	1	1.040	3.695
519	535	2	1.425	2.080
519	529	3	1.894	0.486
529	535	3	2.532	0.942
535	541	2	2.543	1.243
541	559	1	0.649	3.723
541	552	2	2.531	1.725
552	559	2	2.875	1.987
559	584	1	0.837	2.618
559	576	2	2.433	1.617
576	584	2	1.804	0.974
584	641	1	0.920	4.776
584	632	2	0.940	4.346
584	607	3	1.788	2.214
584	590	4	1.792	0.799
590	607	4	1.781	0.661
607	619	3	2.138	1.256
619	632	3	1.694	0.740
632	641	2	1.118	0.309
641	655	1	1.414	0.811
655	677	1	1.634	0.651
677	741	1	1.936	2.137
677	732	2	1.721	0.805
732	741	2	1.166	0.246
741	782	1	0.754	3.605
741	771	2	0.901	2.433
741	752	3	1.135	0.257
752	771	3	1.020	2.139
752	763	4	2.028	1.016
763	771	4	1.714	0.976
771	782	2	1.706	1.034
782	801	1	0.922	1.631
782	790	2	1.575	0.751
790	801	2	1.404	0.561
801	842	1	1.858	1.251
842	861	1	0.712	2.015
842	852	2	1.603	0.872
852	861	2	1.661	0.860
861	877	1	2.499	1.931
877	961	1	0.722	8.341
877	953	2	0.754	7.152
877	943	3	0.959	5.716
877	883	4	2.091	1.364
883	943	4	0.869	4.016
883	924	5	1.181	2.604
883	917	6	1.249	1.205
883	904	7	1.462	0.521
883	893	8	1.587	0.226
893	904	8	1.682	0.143
904	917	7	1.708	0.411
917	924	6	1.931	1.096
924	943	5	1.832	1.204
924	934	6	2.084	0.254
943	953	3	2.129	1.280
953	961	2	1.834	1.119
961	1158	1	1.294	7.302
961	977	2	1.616	1.379
961	967	3	1.711	0.339
967	977	3	1.467	0.093
977	1158	2	1.246	5.687
977	1082	3	1.498	1.604
977	1015	4	1.625	1.138
977	983	5	1.173	0.415
983	1015	5	1.650	0.423
1015	1082	4	1.681	0.374
1082	1118	3	0.897	2.009
1082	1102	4	1.283	0.283
1102	1110	4	1.806	0.878
1110	1118	4	1.496	0.595
1118	1158	3	1.157	1.897
1118	1128	4	1.371	0.755
1128	1158	4	1.647	0.943
1158	1219	1	1.783	0.766
1176	1183	2	1.338	0.100
1219	1243	1	0.942	2.331
1219	1226	2	1.862	1.191
1226	1243	2	1.753	1.032
1243	1283	1	1.103	3.532
1243	1276	2	1.042	2.555
1243	1254	3	2.041	0.973
1254	1276	3	1.706	1.384
1254	1261	4	1.745	0.400
1261	1276	4	1.586	0.208
1276	1283	2	1.475	0.708
1283	1384	1	0.952	7.375
1283	1317	2	0.945	3.045
1283	1303	3	1.042	1.722
1283	1296	4	1.604	0.415
1296	1303	4	2.365	1.199
1303	1317	3	1.342	1.066
1303	1310	4	1.620	0.178
1310	1317	4	2.020	0.578
1317	1366	2	1.996	1.838
1325	1366	3	1.706	0.664
1366	1384	2	0.713	2.468
1366	1374	3	1.778	1.026
1374	1384	3	2.253	1.363
1384	1425	1	0.860	6.001
1384	1391	2	2.409	1.481
1391	1425	2	0.707	4.301
1391	1411	3	1.131	2.248
1391	1403	4	1.776	0.660
1403	1411	4	2.592	1.201
1411	1425	3	1.795	1.967
1411	1418	4	2.573	0.677
1418	1425	4	2.097	0.202
1425	1470	1	1.142	4.351
1425	1463	2	1.009	2.327
1425	1435	3	1.772	1.062
1435	1463	3	1.841	1.047
1463	1470	2	2.237	1.572
1470	1498	1	0.564	4.140
1470	1478	2	1.771	1.199
1478	1498	2	1.151	2.851
1478	1490	3	2.051	1.092
1490	1498	3	2.051	1.139
1498	1693	1	1.492	4.316
1498	1518	2	1.311	0.806
1518	1693	2	1.460	2.895
1518	1604	3	2.147	0.929
1518	1586	4	1.710	0.066
1586	1604	4	1.074	0.250
1604	1693	3	2.082	1.410
1604	1616	4	1.106	0.267
1616	1693	4	2.082	0.628
1616	1678	5	1.706	0.231
1693	1711	1	0.810	2.436
1693	1704	2	1.443	0.888
1704	1711	2	2.031	1.284
1711	1783	1	0.604	7.820
1711	1718	2	2.499	1.923
1718	1783	2	0.746	5.837
1718	1728	3	2.455	1.512
1728	1783	3	0.999	4.176
1728	1770	4	0.924	3.398
1728	1747	5	1.301	1.789
1728	1741	6	1.626	0.442
1741	1747	6	1.918	0.966
1747	1770	5	1.201	1.399
1755	1763	6	1.911	0.649
1763	1770	6	1.860	0.533
1770	1783	4	1.357	0.471
1783	1791	1	2.293	1.397
1799	1806	1	1.689	1.430
1907	1932	1	1.208	0.803
1932	1962	1	1.237	3.584
1932	1945	2	2.167	0.851
1945	1954	2	2.484	1.219
1954	1962	2	2.136	0.976
1962	2040	1	0.871	4.827
1962	2021	2	1.113	3.260
1962	1985	3	1.880	2.245
1962	1968	4	1.925	0.983
1968	1985	4	1.726	0.554
1985	2021	3	1.231	0.769
1985	2004	4	1.413	0.089
2004	2021	4	1.837	0.540
2021	2040	2	1.094	1.419
2021	2033	3	1.725	0.661
2033	2040	3	1.580	0.611
2040	2062	1	1.070	1.687
2040	2052	2	1.717	0.604
2052	2062	2	1.948	0.924
2062	2177	1	1.067	5.089
2062	2118	2	1.397	2.623
2062	2070	3	1.179	0.439
2070	2118	3	1.262	2.029
2070	2111	4	2.384	1.458
2078	2111	5	1.451	0.126
2111	2118	4	1.064	0.455
2118	2145	2	1.000	0.872
2118	2134	3	1.295	0.405
2134	2145	3	1.375	0.217
2145	2177	2	2.075	1.449
2145	2170	3	1.401	0.219
2170	2177	3	1.130	0.001
2177	2190	1	1.310	0.509
2190	2203	1	1.437	0.468
2217	2251	1	1.107	2.039
2217	2223	2	1.389	1.397
2223	2251	2	0.992	0.261
2251	2275	1	1.019	3.061
2251	2267	2	2.123	1.306
2267	2275	2	2.122	1.317
2275	2285	1	1.844	1.439
2285	2376	1	1.130	2.318
2285	2295	2	1.592	1.051
2295	2376	2	1.800	1.072
2376	2394	1	1.467	0.613
2394	2452	1	0.662	4.943
2394	2443	2	0.744	4.206
2394	2437	3	0.750	3.210
2394	2406	4	1.240	0.463
2406	2429	4	1.111	1.676
2406	2422	5	1.512	0.584
2422	2429	5	1.726	0.764
2429	2437	4	1.976	0.967
2437	2443	3	1.565	0.885
2443	2452	2	1.436	0.716
2452	2557	1	2.034	1.248
2463	2557	2	1.622	0.417
2557	2580	1	1.013	0.435
2580	2642	1	1.070	1.962
2580	2617	2	1.391	1.297
2580	2590	3	1.303	0.544
2590	2617	3	1.419	0.368
2617	2642	2	1.484	0.587
2642	2652	1	1.385	0.816
2652	2693	1	1.738	1.636
2652	2660	2	1.126	0.225
2660	2693	2	1.526	0.506
2693	2714	1	1.072	1.154
2693	2705	2	1.281	0.261
2705	2714	2	1.488	0.498
2714	2733	1	1.496	0.818
2733	2744	1	1.307	0.861
2744	2877	1	1.436	2.103
2744	2773	2	1.560	0.650
2773	2877	2	1.521	1.299
2773	2792	3	1.497	0.872
2792	2877	3	1.711	0.271
2877	2949	1	1.674	0.499
2938	2949	2	1.038	0.042
2949	2974	1	1.434	0.496
2974	2988	1	1.262	0.414
2988	2998	1	1.012	0.381
2998	3047	1	1.358	0.885
2998	3009	2	1.138	0.402
3009	3047	2	1.405	0.257
3047	3058	1	1.743	1.348
3058	3164	1	1.399	1.087
3058	3073	2	1.246	0.560
3073	3164	2	1.592	0.465
3073	3140	3	1.388	0.127
3164	3194	1	1.131	0.539
